stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
AMZN,1:4,5000,2525,2525,2517601.0,2524,2524,99.96,99.96,2517456.05,2517456.05,99.994,99.994,2524,2524,99.96,99.96,2517456.05,2517456.05,99.994,99.994,2524,2524,99.96,99.96,2517456.05,2517456.05,99.994,99.994,2524,2524,99.96,99.96,2517456.05,2517456.05,99.994,99.994
AMZN,1:4,10000,5046,5046,9192248.86,5046,5046,100.0,100.0,9192248.86,9192248.86,100.0,100.0,5046,5046,100.0,100.0,9192248.86,9192248.86,100.0,100.0,5046,5046,100.0,100.0,9192248.86,9192248.86,100.0,100.0,5046,5046,100.0,100.0,9192248.86,9192248.86,100.0,100.0
AMZN,1:4,11734,5912,5912,16373697.44,5912,5912,100.0,100.0,16373697.44,16373697.44,100.0,100.0,5912,5912,100.0,100.0,16373697.44,16373697.44,100.0,100.0,5912,5912,100.0,100.0,16373697.44,16373697.44,100.0,100.0,5912,5912,100.0,100.0,16373697.44,16373697.44,100.0,100.0
B,1:4,2,2,2,21.58,1,1,50.0,50.0,10.92,10.92,50.579,50.579,1,1,50.0,50.0,10.92,10.92,50.579,50.579,1,1,50.0,50.0,10.92,10.92,50.579,50.579,1,1,50.0,50.0,10.92,10.92,50.579,50.579
B,1:4,3,3,3,32.92,2,2,66.666,66.666,22.25,22.25,67.595,67.595,2,2,66.666,66.666,22.25,22.25,67.595,67.595,2,2,66.666,66.666,22.25,22.25,67.595,67.595,2,2,66.666,66.666,22.25,22.25,67.595,67.595
B,1:4,4,4,4,44.41,3,3,75.0,75.0,33.75,33.75,75.985,75.985,3,3,75.0,75.0,33.75,33.75,75.985,75.985,3,3,75.0,75.0,33.75,33.75,75.985,75.985,3,3,75.0,75.0,33.75,33.75,75.985,75.985
B,1:4,5,5,5,56.25,4,4,80.0,80.0,45.58,45.58,81.037,81.037,4,4,80.0,80.0,45.58,45.58,81.037,81.037,4,4,80.0,80.0,45.58,45.58,81.037,81.037,4,4,80.0,80.0,45.58,45.58,81.037,81.037
B,1:4,10,10,10,113.08,9,9,90.0,90.0,102.41,102.41,90.567,90.567,9,9,90.0,90.0,102.41,102.41,90.567,90.567,9,9,90.0,90.0,102.41,102.41,90.567,90.567,9,9,90.0,90.0,102.41,102.41,90.567,90.567
B,1:4,15,15,15,166.58,14,14,93.333,93.333,156.16,156.16,93.747,93.747,14,14,93.333,93.333,156.16,156.16,93.747,93.747,14,14,93.333,93.333,156.16,156.16,93.747,93.747,14,14,93.333,93.333,156.16,156.16,93.747,93.747
B,1:4,25,25,25,270.49,23,23,92.0,92.0,250.16,250.16,92.483,92.483,24,24,96.0,96.0,260.32,260.32,96.242,96.242,23,23,92.0,92.0,250.16,250.16,92.483,92.483,24,24,96.0,96.0,260.32,260.32,96.242,96.242
